ID,Correlation
21600_10,1.0
6581_50,1.0
23658_1,1.0
7199_3,1.0
9606_4,1.0
24915_123,1.0
8259_25,1.0
24217_2,1.0
3866_7,1.0
11530_37,1.0
6974_6,1.0
21692_12,1.0
24670_1,1.0
12459_13,1.0
19760_26,1.0
20968_22,1.0
22395_7,1.0
20442_12,1.0
22027_13,1.0
23627_3,1.0
5132_71,1.0
3646_7,1.0
21933_7,1.0
4245_80,1.0
24430_11,1.0
23275_9,1.0
22590_68,1.0
4141_79,1.0
24323_43,1.0
3758_63,1.0
24983_119,1.0
9804_11,1.0
10762_2,1.0
5633_65,1.0
14146_92,1.0
17787_1,1.0
23425_19,1.0
21497_32,1.0
8297_8,1.0
12434_25,1.0
17380_2,1.0
21247_16,1.0
17739_1,1.0
20991_2,1.0
5639_49,1.0
11939_11,1.0
3449_58,1.0
20545_17,1.0
22563_4,1.0
11275_94,1.0
9468_8,1.0
10966_1,1.0
11651_24,1.0
19488_1,1.0
4143_74,1.0
21406_25,1.0
17818_22,1.0
15585_304,1.0
13268_45,1.0
25081_6,1.0
25287_7,1.0
21563_3,1.0
12693_2,1.0
11666_72,1.0
2835_1,1.0
23589_21,1.0
24651_1,1.0
9969_8,1.0
5231_79,1.0
2436_49,1.0
12705_9,1.0
5803_24,1.0
11476_43,1.0
21483_155,1.0
8043_153,1.0
25085_37,1.0
2752_62,1.0
5713_9,1.0
18226_148,1.0
4878_3,1.0
5843_60,1.0
10505_12,1.0
6430_36,1.0
15623_1,1.0
18315_38,1.0
11836_144,1.0
12366_16,1.0
6415_90,1.0
19356_20,1.0
14615_46,1.0
7181_17,1.0
11696_7,1.0
2774_10,1.0
12626_6,1.0
5082_51,1.0
9244_27,1.0
13984_23,1.0
15323_112,1.0
7154_92,1.0
10600_24,1.0
10630_5,1.0
8942_2,1.0
19129_15,1.0
5030_52,1.0
3681_87,1.0
22787_39,1.0
11618_83,1.0
11375_49,1.0
6555_58,1.0
9986_14,1.0
2960_66,1.0
6285_71,1.0
9023_9,1.0
15441_6,1.0
3363_31,1.0
3525_4,1.0
6363_55,1.0
22152_162,1.0
15678_71,1.0
6594_64,1.0
7890_68,1.0
11516_7,1.0
10056_5,1.0
25082_3,1.0
13095_51,1.0
11454_87,1.0
12384_92,1.0
8984_28,1.0
3290_50,1.0
21234_7,1.0
10939_16,1.0
5632_6,1.0
5360_9,1.0
13613_23,1.0
10023_32,1.0
16877_19,1.0
10082_251,1.0
22490_16,1.0
14587_16,1.0
20516_11,1.0
5280_68,1.0
7821_6,1.0
5651_50,1.0
6715_63,1.0
22529_31,1.0
18419_20,1.0
22505_24,1.0
7071_23,1.0
11143_32,1.0
8971_9,1.0
6713_4,1.0
13621_31,1.0
23783_22,1.0
8556_5,1.0
18396_10,1.0
20955_20,1.0
13629_25,1.0
16288_17,1.0
13504_147,1.0
24683_11,1.0
25126_19,1.0
7859_21,1.0
25497_35,1.0
19617_5,1.0
8597_1,1.0
17510_7,1.0
11139_4,1.0
10731_10,1.0
5664_57,1.0
6209_2,1.0
7108_7,1.0
2273_34,1.0
3171_57,1.0
9580_5,1.0
10013_34,1.0
9026_40,1.0
24645_2,1.0
9224_20,1.0
21577_35,1.0
12864_9,1.0
14663_44,1.0
13431_74,1.0
5763_67,1.0
12001_7,1.0
13936_24,1.0
5960_49,1.0
23336_2,1.0
18874_66,1.0
8355_80,1.0
14175_78,1.0
8048_9,1.0
11307_33,1.0
14250_115,1.0
19223_6,1.0
16606_85,1.0
10975_59,1.0
22771_6,1.0
13540_1,1.0
11439_88,1.0
5242_37,1.0
2249_25,1.0
15545_13,1.0
13229_20,1.0
10817_26,1.0
21182_8,1.0
12527_50,1.0
15604_18,1.0
25211_14,1.0
8635_283,1.0
13723_6,1.0
21436_56,1.0
9856_22,1.0
7732_45,1.0
18284_77,1.0
21357_12,1.0
8352_26,1.0
20550_38,1.0
5095_21,1.0
4556_10,1.0
17766_5,1.0
20237_38,1.0
23267_5,1.0
2570_72,1.0
20127_102,1.0
24277_22,1.0
24468_36,1.0
18928_10,1.0
20079_6,1.0
20434_23,1.0
11312_40,1.0
24951_3,1.0
11830_48,1.0
22013_6,1.0
22115_2,1.0
23318_60,1.0
15414_316,1.0
12975_11,1.0
20950_159,1.0
21535_5,1.0
9383_24,1.0
23382_30,1.0
5599_88,1.0
18203_9,1.0
4594_22,1.0
6511_17,1.0
19446_1,1.0
5671_1,1.0
7082_2,1.0
16756_30,1.0
11222_62,1.0
8222_49,1.0
11150_3,1.0
11218_84,1.0
10569_28,1.0
24677_106,1.0
11456_2,1.0
2837_3,1.0
24945_16,1.0
13589_10,1.0
5078_82,1.0
12685_57,1.0
24428_76,1.0
12860_7,1.0
19556_12,1.0
21144_160,1.0
11348_132,1.0
18189_12,1.0
18398_1,1.0
10558_26,1.0
21440_9,1.0
4184_43,1.0
10645_72,1.0
17777_31,1.0
11155_16,1.0
22098_10,1.0
13392_13,1.0
12449_16,1.0
4666_219,1.0
7986_98,1.0
17336_54,1.0
9875_107,1.0
7816_23,1.0
2770_51,1.0
12477_42,1.0
15587_20,1.0
9219_70,1.0
16591_71,1.0
13704_5,1.0
4453_83,1.0
9004_24,1.0
6366_38,1.0
10713_151,1.0
2288_7,1.0
15460_9,1.0
2055_4,1.0
18280_29,1.0
12553_5,1.0
4867_15,1.0
4314_12,1.0
16315_105,1.0
